site;secteur;date; passage;nombre_observateurs;observateur_1;observateur_2;observateur_3;observateur_4; placette;habitat_predominant;pourcentage_habitat_predominant;surface_eau_libre;temps_total_prospection_min;temps_recolte_par_personne_min;helophytes;helophytes_1;helophytes_2;helophytes_3;helophytes_4;profondeur_eau_cm;exuvies;remarque;nombre_exuvies_anisopteres;nombre_exuvies_zygopteres;espece;genre_famille;sexe;determinateur;verification_hors_PNR;nenuphar;exuvies_sur_nenuphar;temperature_generale;heure_arrivee;heure_depart;temps_passe
TGF;NA;12/07/2021;1;1;MC;NA;NA;NA;70;zone_a_sphaignes;NA;0;10;NA;1;NA;NA;scheuchzerie;NA;0;0;defavorable_?;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;15:45:00;15:55:00;00:10
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;9;mare_d_eau_libre;NA;21_30;10;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;16:00:00;16:10:00;00:10
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;10;zone_a_sphaignes;NA;11_20;10;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;16:00:00;16:10:00;00:10
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;43;bas_marais;NA;1_10;12;NA;1;carex;joncs;NA;NA;10;0;cours_d_eau_poacee ;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;16:32:00;16:44:00;00:12
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;44;bas_marais;NA;1_10;10;NA;1;carex;joncs;NA;NA;10;0;cours_d_eau_poacee ;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;16:50:00;17:00:00;00:10
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;75;zone_a_sphaignes;NA;1_10;8;NA;0;NA;NA;NA;NA;15;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;14:35:00;14:43:00;00:08
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;21;mare_d_eau_libre;NA;11_20;7;NA;0;NA;NA;NA;NA;10;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;14:43:00;14:50:00;00:07
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;15;mare_d_eau_libre;NA;1_10;7;NA;1;NA;NA;scheuchzerie;NA;10;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;14:50:00;14:57:00;00:07
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;19;tremblants_a_sphaigne;NA;0;7;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;15:00:00;15:07:00;00:07
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;7;zone_a_sphaignes;NA;0;7;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;15:12:00;15:19:00;00:07
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;0;zone_a_sphaignes;NA;1_10;7;NA;1;NA;NA;scheuchzerie;NA;0;1;NA;1;NA;NA;;NA;NA;NA;NA;NA;17,1;15:19:00;15:26:00;00:07
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;1;mare_d_eau_libre;NA;1_10;7;NA;0;NA;NA;NA;NA;20;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;15:26:00;15:33:00;00:07
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;11;mare_d_eau_libre;NA;31_40;6;NA;1;NA;NA;scheuchzerie;NA;2;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;15:36:00;15:42:00;00:06
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;64;mare_d_eau_libre;NA;21_30;6;NA;0;NA;NA;NA;NA;30;1;NA;1;NA;NA;aeshnidae;NA;ME_MC;NA;NA;NA;17,1;15:44:00;15:50:00;00:06
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;18;mare_a_sphaignes;NA;0;6;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;15:50:00;15:56:00;00:06
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;8;mare_d_eau_libre;NA;1_10;6;NA;0;NA;NA;NA;NA;10;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;15:57:00;16:03:00;00:06
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;25;fosse_d_extraction;NA;1_10;6;NA;1;carex;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;16:43:00;16:49:00;00:06
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;24;fosse_d_extraction;NA;31_40;10;NA;0;NA;NA;NA;NA;50;1;NA;4;NA;aeshna_juncea;;NA;ME_MC;NA;NA;NA;18,1;16:50:00;17:00:00;00:10
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;24;fosse_d_extraction;NA;31_40;10;NA;0;NA;NA;NA;NA;50;1;NA;14;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;18,1;16:50:00;17:00:00;00:10
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;24;fosse_d_extraction;NA;31_40;10;NA;0;NA;NA;NA;NA;50;1;NA;4;NA;NA;aeshnidae_stade_intermediaire;NA;ME_MC_JD;NA;NA;NA;18,1;16:50:00;17:00:00;00:10
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;54;bas_marais;NA;1_10;4;NA;1;NA;NA;NA;molinie;5;0;cours_d_eau;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;17:04:00;17:08:00;00:04
TGF;NA;12/07/2021;1;2;TH;CJ;NA;NA;52;bas_marais;NA;0;5;NA;1;carex;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;18,1;17:11:00;17:16:00;00:05
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;91;zone_a_sphaignes;NA;1_10;14;NA;1;carex;NA;NA;molinie;3;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;15,4;09:47:00;10:01:00;00:14
