Site;Placette;No_passage;espece;Abondance;genre_famille;Abondance;remarque;;;;;
TDM;56;2;aeshna_cyanea;1;;;;;;;;
TDM;11;2;leucorrhinia_dubia;1;;;;;;;;
TDM;49;2;aeshna_subarctica_elisabethae;3;;;;;;;;
TDM;50;2;somatochlora_arctica;1;;;;;;;;
TDM;50;2;sympetrum_danae;1;;;;;;;;
TDM;50;2;aeshna_subarctica_elisabethae;21;;;;;;;;
TDM;49;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;15;3;sympetrum_danae;1;;;;;;;;
TDM;46;3;sympetrum_danae;4;;;;;;;;
TDM;46;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;40;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;64;3;somatochlora_arctica;1;;;;;;;;
TDM;18;3;aeshna_cyanea;1;;;;;;;;
TDM;50;3;aeshna_subarctica_elisabethae;4;;;;;;;;
TDM;50;3;sympetrum_danae;1;;;;;;;;
TDM;50;3;indetermine;1;aeshnidae;;;;;;;
TDM;55;3;sympetrum_danae;1;;;nanisme, difficile pour les critères;;;;;
TDM;10;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;56;3;somatochlora_arctica;1;;;;;;;;
TDM;56;3;sympetrum_danae;2;;;;;;;;
TDM;57;3;aeshna_subarctica_elisabethae;1;;;émergence ratée, adulte pas sorti complètement;;;;;
TDM;5B;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;41;3;aeshna_cyanea;6;;;;;;;;
TDM;41;3;sympetrum_danae;21;;;;;;;;
TDM;41;3;indetermine;;aeshnidae;1;;;;;;
TDM;41;3;indetermine;;;1;;;;;;
TDM;42;3;sympetrum_danae;14;;;;;;;;
TDM;42;3;aeshna_cyanea;3;;;;;;;;
TDM;54;3;sympetrum_danae;1;;;;;;;;
TDM;7A;3;sympetrum_danae;1;;;;;;;;
TDM;7A;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;4A;3;indetermine;1;;;;;;;;
TDM;53;3;sympetrum_danae;2;;;;;;;;
TDM;0A;3;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;35;3;sympetrum_danae;1;;;;;;;;
TDM;4B;3;indetermine;1;;;;;;;;
TDM;44;3;sympetrum_danae;21;;;;;;;;
TDM;44;3;indetermine;2;;;;;;;;
