placette_site;No_passage;nb_exuvies_anisopteres;espece;abondance
TGF_40;3;0;NA;NA
TGF_41;1;2;somatochlora_arctica;1
TGF_41;1;2;NA;NA
TGF_41;2;0;aeshna_subarctica_elisabethae;1
TGF_41;3;0;NA;NA
TGF_5;1;0;NA;NA
TGF_5;2;0;NA;NA
TGF_5;3;0;NA;NA
TGF_64;1;0;NA;NA
TGF_64;2;0;NA;NA
TGF_64;3;0;NA;NA
TGF_8;1;0;NA;NA
TGF_8;2;0;NA;NA
TGF_8;3;0;NA;NA
TGF_82;1;0;NA;NA
TGF_82;2;0;NA;NA
TGF_82;3;0;NA;NA
TGF_83;1;0;NA;NA
TGF_83;2;0;NA;NA
TGF_83;3;0;NA;NA
TGF_9;1;0;NA;NA
TGF_9;2;0;NA;NA
TGF_9;3;0;NA;NA
